pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,step
0.416721,0.185183,0.0126801,0.385416,6.67555,9.70936,3.44527,1.87986,3.33351,3.84483,-5.20248,-3.61324,0.00052249,1.20234,1.20234,0.515655,0.487981,-0.606852,-0.606852,6.45046,0.0717379,-1.60144,-1.60144,2.38586,1.10972,0.365645,0.365645,1.14156,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.438035,0.449873,0.0510007,0.0610908,8.06186,-9.48482,-2.79508,7.29042,-6.10827,8.04036,9.2111,-1.49249,0.284925,0.204557,0.204557,0.000831873,2.32655,-2.10016,-2.10016,0.0238861,0.00475046,0.0471604,0.0471604,0.0405958,3.53536,1.38712,1.38712,1.16953,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.26221,0.205724,0.293876,0.23819,6.8082,0.302938,0.576558,-4.60328,-3.08807,5.1667,-1.23524,-7.10681,0.100687,0.0512185,0.0512185,0.248295,0.170505,-0.761049,-0.761049,1.36556,0.00678069,-0.92498,-0.92498,0.85823,0.954791,1.20903,1.20903,2.74293,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.321607,0.13868,0.382681,0.157033,-5.96378,-4.41745,5.79655,-9.68798,-4.36317,7.32772,-8.7219,4.17842,0.579676,-0.18894,-0.18894,1.22549,2.80487,-0.264167,-0.264167,0.0924542,0.257449,0.00244769,0.00244769,0.151152,0.494761,-0.0427107,-0.0427107,0.81169,-68550.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0960226,0.531007,0.261475,0.111496,3.79459,-4.72521,9.98235,-7.61048,5.39895,-9.08967,8.58995,-3.63917,0.897116,-0.027729,-0.027729,0.632112,0.0281868,0.366941,0.366941,0.947428,0.909365,1.19039,1.19039,7.89657,3.99522,0.377115,0.377115,0.770457,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0693912,0.190976,0.398136,0.341497,6.83962,-9.59415,2.25072,6.91374,9.42373,-6.95186,-8.18928,-3.40017,0.192449,0.403148,0.403148,0.304046,0.0830902,0.144109,0.144109,1.68298,1.11547,-0.114362,-0.114362,2.20909,0.00704088,-1.12551,-1.12551,0.477908,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.600704,0.113677,0.194489,0.0911311,-3.39637,4.80792,5.2194,7.43855,0.143367,0.882304,3.94533,-2.00775,0.35074,-0.266297,-0.266297,4.03568,0.64507,-1.6037,-1.6037,0.761629,0.0872474,0.290241,0.290241,3.8762,0.541197,-1.21964,-1.21964,0.57401,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.215516,0.0271198,0.155104,0.60226,1.08693,-7.55405,-2.77696,-6.51029,7.29424,3.34042,3.61139,-1.8091,0.0135735,0.163737,0.163737,0.545783,0.311752,-0.143087,-0.143087,1.74356,1.4705,1.21692,1.21692,0.474412,2.29918,-0.176224,-0.176224,1.19595,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.17456,0.191613,0.306104,0.327724,-3.66072,4.95511,4.564,4.54776,-7.53804,5.6646,-8.62634,3.78332,2.43202,-0.56269,-0.56269,0.158522,0.351402,1.68572,1.68572,0.00607871,0.164074,0.197984,0.197984,0.116773,2.74895,-0.328684,-0.328684,2.32957,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.12972,0.296528,0.269001,0.304751,3.26014,-1.69608,-6.03891,5.1622,5.26142,8.87456,-7.92553,-0.37254,0.644628,1.35053,1.35053,0.125406,0.028181,-0.231063,-0.231063,0.0657761,0.118517,-3.40143,-3.40143,3.82288,0.270657,-0.204796,-0.204796,0.085832,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.284598,0.292314,0.366568,0.0565199,8.14808,-7.24997,-0.813203,5.5968,6.12441,2.47945,7.60779,5.67368,0.173595,-0.408201,-0.408201,0.643741,0.0114134,0.186656,0.186656,0.502087,0.000108492,0.25698,0.25698,1.76161,1.7008,0.683805,0.683805,0.0253233,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0183804,0.518471,0.364198,0.0989507,1.992,7.03681,7.18379,-8.44755,6.13105,6.76425,-7.27162,-2.8163,0.37182,0.420738,0.420738,1.17046,0.027373,0.00509421,0.00509421,5.16448,0.124117,1.09492,1.09492,2.68929,0.301449,-1.69191,-1.69191,0.374711,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.302919,0.195778,0.425764,0.0755396,-9.33715,-2.75213,4.1928,-3.40337,1.3228,-7.35657,4.94649,0.363816,5.46182,0.0794704,0.0794704,3.00031,0.651344,-0.21581,-0.21581,0.194537,0.0222958,0.429855,0.429855,0.00413267,0.505165,0.161059,0.161059,1.94711e-05,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.025266,0.345713,0.458131,0.17089,7.23337,-0.0126848,-1.22847,6.89412,1.84692,-9.57807,6.76176,-7.63164,0.326205,-0.360462,-0.360462,0.191274,0.184776,-1.84043,-1.84043,0.713146,0.000331757,-0.098848,-0.098848,0.556294,0.89509,-0.191265,-0.191265,0.768004,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0313335,0.394719,0.0117719,0.562176,5.11236,1.3405,9.28655,9.56924,9.96176,7.2468,-7.04173,6.78295,4.16822,-0.0151848,-0.0151848,0.582178,0.274265,-0.0326159,-0.0326159,1.48064,0.290023,0.354941,0.354941,0.172557,0.301964,0.606283,0.606283,0.992604,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.253172,0.0417366,0.383781,0.321311,5.80681,9.40211,-5.78307,-6.49025,5.03575,-3.64685,-5.85178,-6.05844,0.0259956,-0.736252,-0.736252,1.95142,1.95842,0.0147156,0.0147156,0.645821,0.00355796,0.00529371,0.00529371,1.00057,0.841199,0.120414,0.120414,0.191861,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0946332,0.0856122,0.293664,0.526091,-8.4752,6.25824,-4.32391,-1.29417,-5.48108,-2.75246,-6.44498,4.79632,3.01644,0.0118589,0.0118589,0.00656016,0.856219,0.0442066,0.0442066,0.0346401,0.675642,0.000141587,0.000141587,0.608343,0.710728,-0.0380944,-0.0380944,1.3615,-37678.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.495054,0.171753,0.29403,0.0391633,8.12462,-7.64771,-6.18527,5.67894,-0.969001,4.12179,-9.12391,4.56396,0.158755,0.264348,0.264348,0.164203,0.962355,-0.192077,-0.192077,2.27366,2.24475,0.18795,0.18795,0.275271,0.134096,-1.5274,-1.5274,0.0078509,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.479515,0.0735591,0.18521,0.261716,4.06599,-0.895894,-1.65236,-1.40126,8.50068,-3.58929,8.58961,6.19722,0.00519087,-0.721213,-0.721213,1.60097,0.51047,-0.102797,-0.102797,0.636147,0.00564359,-0.128328,-0.128328,0.228914,0.127798,1.44639,1.44639,0.0896146,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.039092,0.359314,0.381011,0.220583,-2.08858,4.46525,-4.12525,8.08655,-0.907287,-7.97098,7.55824,-0.793745,3.69766,0.0721298,0.0721298,2.28043,3.25609,-1.80165,-1.80165,0.998521,2.28819,-0.199711,-0.199711,0.410807,0.144535,0.944965,0.944965,0.358322,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0932031,0.511706,0.345275,0.049816,7.96273,-2.50685,4.70212,-2.63053,3.1595,-0.868124,9.73427,4.81832,0.905392,-0.243903,-0.243903,2.39267,3.56738,-1.24422,-1.24422,0.0379271,1.55608,-0.037896,-0.037896,0.0105981,0.00642712,0.950599,0.950599,0.432077,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.420749,0.0811208,0.184245,0.313885,-7.38647,-5.39213,7.2516,-7.09234,-9.69258,9.61259,-4.87366,2.17686,2.06069,-1.79517,-1.79517,0.195486,0.336464,-0.440224,-0.440224,0.399506,0.210183,0.525677,0.525677,0.302757,0.229908,-0.588642,-0.588642,0.400817,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.212187,0.250692,0.372528,0.164593,-2.26585,5.03109,-3.68444,-1.33619,-7.86726,-2.71697,0.412041,-8.00473,0.633058,-0.508185,-0.508185,3.03598,0.638786,0.0993567,0.0993567,3.00973,1.07128,-1.00696,-1.00696,0.184071,1.75295,-0.0126359,-0.0126359,1.83951,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.218544,0.294838,0.189977,0.296642,-4.00665,0.886357,-8.29507,1.91604,7.9698,-7.84015,5.59064,-5.97363,0.894455,-1.27504,-1.27504,1.6609,0.553221,1.19703,1.19703,0.127502,0.295204,-0.192636,-0.192636,2.8695,0.163698,0.0202705,0.0202705,0.0353723,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.00719456,0.22037,0.174373,0.598063,4.82984,4.20969,3.41332,1.44162,2.99416,7.17072,-3.79067,-7.01902,2.28773,1.34607,1.34607,1.21858,0.333414,0.00189464,0.00189464,0.101826,0.013522,0.742692,0.742692,0.0746416,3.42541,0.359454,0.359454,0.222687,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.274786,0.179191,0.312611,0.233412,3.80645,-6.3767,9.54311,-2.16081,-8.20601,-3.07272,7.28371,-6.82741,0.11775,0.034236,0.034236,3.1523,0.0338723,-0.0879539,-0.0879539,0.157173,1.54806,-0.0708284,-0.0708284,0.0737874,2.64099,1.06527,1.06527,0.0270768,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.140291,0.0506661,0.483055,0.325988,-9.87014,-5.37697,1.28499,6.16876,-9.26981,5.73714,6.90333,-2.57559,2.10092,0.00506891,0.00506891,0.503926,2.10529,0.342257,0.342257,0.985078,0.0660503,0.480589,0.480589,1.32661,1.71549,-0.405045,-0.405045,0.592364,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0325273,0.0221167,0.363652,0.581704,8.49974,-0.731356,9.13007,7.92865,-0.449446,2.01314,-4.36323,8.81339,0.162566,-0.290135,-0.290135,0.0264242,0.15373,0.383235,0.383235,0.051383,0.179332,1.28489,1.28489,0.0729835,1.34501,-1.10006,-1.10006,0.0765986,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0364882,0.358815,0.122357,0.48234,-1.9683,9.70868,-2.61014,-0.719564,-2.35048,-1.22251,-2.82222,-8.84272,4.49564,0.496633,0.496633,0.159688,1.17674,-0.400253,-0.400253,0.716399,0.821908,-0.574121,-0.574121,0.0162654,0.63485,-0.131931,-0.131931,0.0786622,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0934723,0.468987,0.264541,0.173,-3.68428,8.29736,-9.81239,-4.80134,-4.62317,3.05249,-2.03492,-8.4591,1.23024,0.148661,0.148661,0.00816705,1.72948,0.475986,0.475986,1.00788,6.17155,0.14564,0.14564,2.83751,10.1734,-1.15047,-1.15047,0.719977,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.250177,0.473738,0.171088,0.104997,1.69722,1.90211,-0.10956,7.97007,3.10468,-2.74827,-7.03792,1.6689,0.00622731,0.377823,0.377823,0.371191,0.572633,0.0639953,0.0639953,0.690326,0.00617807,0.108051,0.108051,0.0067722,0.0868878,0.277811,0.277811,1.55824,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.159261,0.558821,0.173365,0.108553,-8.10092,-2.0492,-2.2694,8.97162,-1.11351,-0.932265,-3.83523,-9.43908,0.385628,1.78659,1.78659,2.00383,1.12769,-0.336941,-0.336941,0.326389,1.28145,0.398283,0.398283,1.86025,0.0315313,-0.0451343,-0.0451343,0.000291955,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.176674,0.230901,0.342216,0.250209,-6.92615,2.27121,-0.492088,-3.5953,-4.78765,-7.39795,-0.463618,3.56897,2.99236,-0.609476,-0.609476,0.000558258,0.0316169,0.199678,0.199678,0.519393,0.0873047,-0.989597,-0.989597,3.03221,0.0134138,-0.989305,-0.989305,0.0875591,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.124917,0.343469,0.363631,0.167984,-2.11871,-9.98667,-4.71071,-3.51066,1.55137,2.77125,1.41559,-7.60318,0.823877,-1.55307,-1.55307,1.93944,0.318771,0.192932,0.192932,0.0587961,0.165208,-0.107387,-0.107387,0.000584393,0.00218967,0.865625,0.865625,0.363556,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.256295,0.423772,0.152293,0.16764,-0.716113,9.43735,4.02596,4.45076,8.01404,2.76981,2.11942,1.66265,1.73391,0.0793332,0.0793332,0.00260567,0.303585,0.154896,0.154896,6.1349,0.151526,-0.866503,-0.866503,0.152215,0.339519,-0.94555,-0.94555,1.04179,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.120955,0.333312,0.318039,0.227694,4.72266,-8.61981,3.31458,3.18751,6.15457,-2.37229,6.46543,-1.18052,0.285124,0.0450756,0.0450756,4.92616,0.554701,-0.435534,-0.435534,0.419029,0.0423062,0.35016,0.35016,0.875746,0.292903,-0.230241,-0.230241,1.15081,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.400565,0.534712,0.0423365,0.0223865,0.494321,0.975079,-7.57523,6.65106,-9.95331,-7.78705,2.36832,2.04118,1.89776,0.342634,0.342634,0.251065,2.36834,0.740305,0.740305,0.0880862,0.373638,-0.034087,-0.034087,1.24742,0.349488,0.517274,0.517274,0.245305,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.462603,0.0646852,0.358163,0.114548,-8.91207,-7.68304,-9.2936,-4.11609,8.7172,6.06268,9.58692,0.433364,0.00959809,-0.978128,-0.978128,0.828982,1.53922,1.07497,1.07497,0.87544,0.86605,-0.0629578,-0.0629578,0.553043,0.571727,-0.0125801,-0.0125801,0.336516,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.256307,0.147162,0.288114,0.308416,-8.49013,7.84699,8.96928,-8.78425,6.80445,-6.53253,-6.83219,2.94107,0.277011,-1.74405,-1.74405,0.138237,0.148904,0.00663926,0.00663926,0.0194724,0.00729266,-0.075493,-0.075493,0.117099,1.28467,-0.733019,-0.733019,0.0199454,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0695317,0.392584,0.51668,0.0212035,-7.73276,7.45483,-0.211722,3.02135,-9.08846,-5.63174,-4.9597,-6.52629,1.09783,0.506687,0.506687,4.89629,0.00110205,1.17445,1.17445,0.528652,2.06442,-0.0161845,-0.0161845,0.619881,0.572686,-0.0149748,-0.0149748,0.214464,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.094645,0.327784,0.314442,0.263129,2.87109,2.57913,0.6813,1.93563,-1.90058,-4.54341,2.47292,-2.9574,0.244385,0.0692784,0.0692784,0.885709,0.324651,-0.487587,-0.487587,0.120136,2.96002,-0.0505705,-0.0505705,0.0126726,2.90083,0.111589,0.111589,2.19161,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.313925,0.18179,0.0781406,0.426144,-2.91879,-7.54605,4.43724,-4.1205,-0.0428174,-2.95195,-2.30278,-3.42107,0.0415861,-0.0704642,-0.0704642,6.02896,0.869056,-0.172403,-0.172403,2.2409,0.718626,-1.40005,-1.40005,0.94713,0.0159033,-3.60477,-3.60477,7.0406,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0457038,0.40716,0.413157,0.13398,4.79452,6.46737,-6.31112,-9.27548,-4.78507,1.23609,6.88846,2.87368,2.57521,0.243151,0.243151,1.26597,0.083771,0.000473077,0.000473077,0.164911,1.21877,-0.279884,-0.279884,1.01469,0.268235,-2.47998,-2.47998,0.267817,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.629963,0.208105,0.141736,0.0201955,-6.08426,9.5935,-5.49015,-9.21836,-6.32349,6.32843,-1.81597,9.86594,0.761343,-0.83143,-0.83143,0.0977222,3.04839,0.379322,0.379322,0.435538,0.143899,1.83663,1.83663,0.601456,1.3688,-0.474798,-0.474798,3.39127,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.052412,0.383194,0.0630858,0.501308,-3.29889,4.24525,-1.2981,2.52159,-7.4869,-9.40273,9.5012,4.58026,0.713372,0.235413,0.235413,1.642,7.89991,-0.445843,-0.445843,2.4996,1.76885,-0.0422515,-0.0422515,0.0620922,0.931701,1.22177,1.22177,0.510833,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.689179,0.102878,0.0613825,0.14656,-6.15827,0.856578,1.73138,5.63727,-3.14101,7.77562,-1.6177,-8.51077,1.51719,0.544372,0.544372,0.664431,6.63012,-0.266187,-0.266187,2.8657,1.29403,0.181408,0.181408,0.309154,0.386072,0.0353408,0.0353408,0.989252,-11080.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.295232,0.23432,0.305937,0.16451,0.893305,4.78025,-8.71589,-8.53963,3.14767,-5.34908,3.53114,-6.51138,0.117863,-0.0447774,-0.0447774,0.345,3.02224,0.224485,0.224485,0.616884,0.936886,0.290115,0.290115,2.32554,0.330076,0.197641,0.197641,0.144154,-17729.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.210836,0.670998,0.0329076,0.0852579,-5.29831,1.67787,-4.13676,-7.32218,-2.30488,7.11205,6.29797,7.90102,4.47596,-0.017017,-0.017017,0.00807756,0.134388,0.469364,0.469364,0.66312,0.0114901,0.00775342,0.00775342,1.69714,0.0591585,-0.720795,-0.720795,0.0100826,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.293547,0.424538,0.165218,0.116696,-7.64196,9.55449,1.50515,1.0708,-5.00082,-4.49583,8.98091,-0.244588,0.853677,-0.133333,-0.133333,1.47471,0.268769,1.56752,1.56752,0.30442,0.0302076,0.61051,0.61051,0.00638725,0.00145917,1.0305,1.0305,0.00171672,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
