pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,step
0.0177337,0.461765,0.188045,0.332456,-5.7958,-6.53909,5.24389,-5.87203,-8.02533,5.26078,7.65292,0.566995,2.1673,-0.182726,-0.182726,0.449452,1.1714,0.546272,0.546272,0.217626,0.145097,3.16878,3.16878,2.25692,0.114447,-0.0354458,-0.0354458,0.964677,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0689637,0.13063,0.389499,0.410908,-6.09808,-8.36987,1.36367,-3.83056,4.19138,9.42378,5.54713,-6.75061,0.0658708,0.151656,0.151656,1.34813,0.221439,-0.154523,-0.154523,4.00688,2.83912,0.2303,0.2303,0.501669,0.555461,1.01864,1.01864,0.983746,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.198877,0.172843,0.451258,0.177022,-5.07642,-7.42194,-4.9301,-5.47783,-6.49693,-5.06756,-1.73308,-7.07014,0.288805,0.0894169,0.0894169,0.613729,0.063684,-1.13249,-1.13249,0.0194394,0.756781,-0.479347,-0.479347,0.924229,0.00406112,0.126347,0.126347,0.181641,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.187098,0.234343,0.306014,0.272545,-0.0404769,7.25092,-1.14409,2.13641,-5.60686,-4.33743,1.3558,6.58281,0.453126,0.154392,0.154392,0.204308,1.45387,-0.119589,-0.119589,0.921285,0.112176,1.42589,1.42589,1.24319,7.06276,0.36122,0.36122,0.00945785,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.215869,0.416172,0.00190127,0.366058,-0.213794,4.44105,-2.44616,9.46738,-4.86679,6.10281,-0.947734,-0.336588,0.016829,0.871915,0.871915,0.0637568,0.00128399,-0.581076,-0.581076,1.81822,0.218103,0.699181,0.699181,0.0965163,0.537632,1.20346,1.20346,2.5046,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.406368,0.425473,0.0922408,0.0759179,9.18514,9.49539,-3.91908,3.38204,-7.01631,-7.2971,3.13168,3.18186,1.21748,-0.273572,-0.273572,0.329913,0.00863517,-0.581527,-0.581527,0.208305,0.159517,-0.273028,-0.273028,0.83856,1.71027,4.18698,4.18698,0.555724,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.187933,0.295874,0.422517,0.0936762,6.67113,8.57129,-7.67891,1.86909,3.03502,4.49458,7.0323,6.92872,1.05897,-1.36155,-1.36155,0.282171,0.808249,-1.66088,-1.66088,1.00889,0.0598669,-0.498495,-0.498495,1.64424,0.0332818,-0.545782,-0.545782,0.541998,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.150359,0.271186,0.316749,0.261706,5.96217,7.92778,1.83521,-9.72893,8.94881,1.42984,-2.57195,-5.63022,0.794466,4.35313,4.35313,1.26659,1.03905,3.39326,3.39326,0.034421,0.0245329,0.00738823,0.00738823,0.00666013,0.0743257,-0.189374,-0.189374,0.665951,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.278941,0.21535,0.422705,0.0830048,-3.15714,-1.3607,4.18885,4.71926,3.00718,8.6235,-4.62705,1.85445,0.0131106,-1.15195,-1.15195,1.77893,0.642522,-0.0360815,-0.0360815,1.63674,0.617325,-0.209394,-0.209394,6.22753,9.0943e-05,0.121704,0.121704,0.0607529,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.386983,0.258204,0.0492965,0.305517,-4.56313,7.23636,3.79988,8.77407,-4.5534,-9.14001,-9.16367,1.30328,2.25528,-0.159235,-0.159235,1.05634,0.867475,-1.55872,-1.55872,0.414399,0.247627,-0.103019,-0.103019,5.02587,2.44867,-0.63706,-0.63706,0.277421,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
